"PVWatts Hourly PV Performance Data"
"Requested Location","denton, tx"
"Location","Lat, Lng: 33.21, -97.14"
"Latitude (DD)","33.21"
"Longitude (DD)","-97.14"
"Elevation (m)","202.67999267578"
"DC System Size (kW)","100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","23","4","0","0","2","1.4","0.16","0","2","0","0"
"2","23","5","0","0","2","1.2","0.16","0","2","0","0"
"2","23","6","0","0","2","1.4","0.16","0","2","0","0"
"2","23","7","0","19","4","1.9","0.16","17.624","4.412","1183.518","745.225"
"2","23","8","0","87","6","1.9","0.16","82.612","8.056","7175.628","6525.011"
"2","23","9","234","196","9","2.2","0.16","351.805","17.252","30969.558","29475.827"
"2","23","10","69","267","11","2.9","0.16","322.925","17.636","27854.5","26471.148"
"2","23","11","209","335","12","3.2","0.16","535.47","22.462","45669.072","43654.479"
"2","23","12","284","348","14","3.4","0.16","639.818","26.104","53848.791","51544.358"
"2","23","13","132","350","15","3.5","0.16","487.884","24.078","41141.721","39287.55"
"2","23","14","264","298","15","3.3","0.16","537.944","25.356","45610.857","43598.327"
"2","23","15","389","203","14","3","0.16","480.963","23.761","41505.022","39637.978"
"2","23","16","0","34","12","2","0.16","31.54","12.769","2580.439","2092.648"
"2","23","17","3","56","10","1.4","0.16","54.447","11.502","4487.24","3931.883"
"2","23","18","0","0","8","1.6","0.16","0","8","0","0"
"2","23","19","0","0","7","1.8","0.16","0","7","0","0"
"2","23","20","0","0","7","2","0.16","0","7","0","0"
"2","23","21","0","0","7","2.2","0.16","0","7","0","0"
"2","23","22","0","0","6","2.1","0.16","0","6","0","0"
"2","23","23","0","0","6","1.8","0.16","0","6","0","0"
"2","24","0","0","0","5","1.7","0.16","0","5","0","0"
"2","24","1","0","0","5","1.6","0.16","0","5","0","0"
"2","24","2","0","0","5","1.4","0.16","0","5","0","0"
"2","24","3","0","0","4","1.2","0.16","0","4","0","0"
"2","24","4","0","0","4","1.1","0.16","0","4","0","0"
"2","24","5","0","0","4","1.1","0.16","0","4","0","0"
"2","24","6","0","0","5","1.6","0.16","0","5","0","0"
"2","24","7","0","2","7","2.5","0.16","1.849","7.039","114.845","0"
"2","24","8","0","66","9","3.3","0.16","61.632","10.19","5248.346","4666.02"
"2","24","9","44","193","12","4","0.16","220.095","15.816","19096.886","18023.851"
"2","24","10","5","190","13","4.2","0.16","185.197","16.109","15752.838","14798.296"
"2","24","11","181","340","13","3.6","0.16","516.497","22.471","43979.155","42024.442"
"2","24","12","31","300","12","3","0.16","331.513","18.677","28170.11","26775.575"
"2","24","13","3","179","11","2.7","0.16","172.392","14.656","14591.41","13678.022"
"2","24","14","4","191","10","2.6","0.16","185.215","14.004","15832.142","14874.79"
"2","24","15","0","83","10","2.3","0.16","77.202","11.769","6509.512","5882.498"
"2","24","16","0","45","9","1.8","0.16","41.769","10.061","3498.751","2978.42"
"2","24","17","0","2","8","1.2","0.16","1.849","8.054","132.951","0"
"2","24","18","0","0","8","1.3","0.16","0","8","0","0"
"2","24","19","0","0","8","1.6","0.16","0","8","0","0"
"2","24","20","0","0","8","1.9","0.16","0","8","0","0"
"2","24","21","0","0","8","2.1","0.16","0","8","0","0"
"2","24","22","0","0","8","2","0.16","0","8","0","0"
"2","24","23","0","0","8","1.8","0.16","0","8","0","0"
"2","25","0","0","0","8","1.6","0.16","0","8","0","0"
"2","25","1","0","0","8","1.5","0.16","0","8","0","0"
"2","25","2","0","0","8","1.9","0.16","0","8","0","0"
"2","25","3","0","0","8","2.4","0.16","0","8","0","0"
"2","25","4","0","0","7","1.6","0.16","0","7","0","0"
"2","25","5","0","0","7","0.6","0.16","0","7","0","0"
